,votes_dem_2016,votes_gop_2016,total_votes_2016,state_abbr
0,93003,130413,246588,AK
1,93003,130413,246588,AK
2,93003,130413,246588,AK
3,93003,130413,246588,AK
4,93003,130413,246588,AK
5,93003,130413,246588,AK
6,93003,130413,246588,AK
7,93003,130413,246588,AK
8,93003,130413,246588,AK
9,93003,130413,246588,AK
10,93003,130413,246588,AK
11,93003,130413,246588,AK
12,93003,130413,246588,AK
13,93003,130413,246588,AK
14,93003,130413,246588,AK
15,93003,130413,246588,AK
16,93003,130413,246588,AK
17,93003,130413,246588,AK
18,93003,130413,246588,AK
19,93003,130413,246588,AK
20,93003,130413,246588,AK
21,93003,130413,246588,AK
22,93003,130413,246588,AK
23,93003,130413,246588,AK
24,93003,130413,246588,AK
25,93003,130413,246588,AK
26,93003,130413,246588,AK
27,93003,130413,246588,AK
28,93003,130413,246588,AK
29,5908,18110,24661,AL
30,18409,72780,94090,AL
31,4848,5431,10390,AL
32,1874,6733,8748,AL
33,2150,22808,25384,AL
34,3530,1139,4701,AL
35,3716,4891,8685,AL
36,13197,32803,47376,AL
37,5763,7803,13778,AL
38,1524,8809,10503,AL
39,2909,15068,18255,AL
40,3109,4102,7268,AL
41,5712,7109,12936,AL
42,1234,5230,6572,AL
43,684,5738,6532,AL
44,4194,15825,20513,AL
45,7296,16718,24626,AL
46,3069,3413,6543,AL
47,1780,3376,5223,AL
48,2379,13222,15818,AL
49,1663,4511,6252,AL
50,3730,32734,37278,AL
51,4408,13798,18617,AL
52,12826,5784,18730,AL
53,3682,21779,26086,AL
54,8436,27619,36905,AL
55,4698,10282,15213,AL
56,10350,32132,43474,AL
57,1358,6705,8196,AL
58,2197,9466,11955,AL
59,1522,9967,11659,AL
60,4006,838,4862,AL
61,4772,3172,8010,AL
62,2286,5623,8017,AL
63,10547,30567,42030,AL
64,3663,16643,20785,AL
65,151581,130614,290111,AL
66,1035,5819,6931,AL
67,9877,27735,38813,AL
68,3611,10732,14623,AL
69,20987,34321,57668,AL
70,9340,28824,39400,AL
71,4882,1751,6676,AL
72,7237,1394,8748,AL
73,62435,89199,159473,AL
74,5607,5224,10948,AL
75,1432,11273,12912,AL
76,4913,29217,34965,AL
77,68429,91087,163387,AL
78,4310,5771,10185,AL
79,58669,33928,94572,AL
80,11216,37392,49991,AL
81,3823,1403,5255,AL
82,3972,5454,9494,AL
83,5039,7681,13025,AL
84,2290,7697,10130,AL
85,9577,9210,19136,AL
86,22927,72846,99208,AL
87,5550,31579,37937,AL
88,4739,1581,6391,AL
89,12108,20596,33218,AL
90,5271,12967,18504,AL
91,31746,47701,81708,AL
92,4486,24208,29243,AL
93,2366,6031,8492,AL
94,4329,1737,6095,AL
95,871,9225,10255,AL
96,1939,3825,6167,AR
